ID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4	Abundance	Kindom
BACasv281	0.001674629	0.002041202	0	0	0	0	0	0	0.046447888	Bac
BACasv282	0.003546274	0.005027405	0.00518755	0.005630489	0	0	0	0.001383604	0.259691525	Bac
BACasv283	0.000541792	0.001058401	0.000912097	0.001008446	0	0	0.002211526	0.003804912	0.119214675	Bac
BACasv284	0.000886568	0	0	0	0	0	0	0	0.0110821	Bac
BACasv285	0	0	0	0	0.001217962	0.000520382	0	0	0.0217293	Bac
BACasv286	0.003546274	0.002154602	0.003534375	0	0	0	0.001365943	0.005765018	0.20457765	Bac
BACasv287	0.000591046	0.000831601	0.001140121	0.000756334	0.001376827	0.000842523	0.001821257	0.001441254	0.110012038	Bac
BACasv288	0	0	0	8.40E-05	0.000900233	0.002205427	0	0	0.03987075	Bac
BACasv289	0.004580604	0.003893404	0.00330635	0.00352956	0	0	0	0	0.191373975	Bac
BACasv290	0.003349259	0.001701002	0.003249344	0.001722761	0.000688413	0.000446041	0	0.002478958	0.170447225	Bac
BACasv291	0	0	0	0	0	0	0.003382334	0	0.042279175	Bac
BACasv292	0	0	0	0	0	0	0.003382334	0	0.042279175	Bac
BACasv293	0.003152244	0.000529201	0.003648387	0.002016891	0	0.000223021	0.001496032	0	0.1383222	Bac
