label	Kindom	Abundance
BACasv480	Bac	0.020177563
BACasv481	Bac	0.0299343
BACasv485	Bac	0.0762911
BACasv486	Bac	0.019239538
BACasv487	Bac	0.02774455
BACasv488	Bac	0.031552988
BACasv489	Bac	0.080276538
BACasv490	Bac	0.022968813
BACasv491	Bac	0.032612138
BACasv492	Bac	0.0072813
BACasv493	Bac	0.007743775
BACasv496	Bac	0.00092875
BACasv497	Bac	0.024985
BACasv498	Bac	0.070802675
BACasv499	Bac	0.061738588
BACasv500	Bac	0.026445488
BACasv501	Bac	0.0300994
BACasv502	Bac	0.018526963
BACasv503	Bac	0.02482975
BACasv504	Bac	0.013656038
BACasv505	Bac	0.032270113
BACasv506	Bac	0.0372046
BACasv507	Bac	0.01423875
BACasv508	Bac	0.03738575
BACasv509	Bac	0.044489988
BACasv510	Bac	0.0534238
BACasv511	Bac	0.007743775
BACasv512	Bac	0.01548755
BACasv513	Bac	0.053423663
BACasv514	Bac	0.011702675
BACasv515	Bac	0.018452763
BACasv516	Bac	0.014776138
BACasv517	Bac	0.014776138
BACasv518	Bac	0.050616288
BACasv519	Bac	0.012605575
BACasv520	Bac	0.012605575
BACasv521	Bac	0.04690955
BACasv522	Bac	0.01166025
BACasv523	Bac	0.019513463
BACasv524	Bac	0.019513463
BACasv526	Bac	0.057049925
BACasv527	Bac	0.05312685
BACasv528	Bac	0.086453163
BACasv530	Bac	0.017126663
BACasv531	Bac	0.028481863
BACasv534	Bac	0.048224388
BACasv535	Bac	0.049888588
BACasv536	Bac	0.045276675
BACasv537	Bac	0.045950538
BACasv538	Bac	0.025619275
BACasv539	Bac	0.040833638
BACasv540	Bac	0.007124275
BACasv541	Bac	0.007124275
BACasv542	Bac	0.015002763
BACasv543	Bac	0.031557913
BACasv544	Bac	0.016574425
BACasv545	Bac	0.055476763
BACasv548	Bac	0.002168263
BACasv549	Bac	0.002168263
BACasv551	Bac	0.039580838
BACasv552	Bac	0.0230955
BACasv553	Bac	0.030059125
BACasv554	Bac	0.011555113
BACasv555	Bac	0.030516338
BACasv556	Bac	0.006814525
BACasv557	Bac	0.053430925
BACasv558	Bac	0.033115063
BACasv559	Bac	0.0158538
BACasv561	Bac	0.006504488
BACasv562	Bac	0.0130817
BACasv563	Bac	0.020489138
BACasv564	Bac	0.012929125
BACasv565	Bac	0.032472088
BACasv566	Bac	0.1244699
BACasv567	Bac	0.018326225
BACasv568	Bac	0.011029875
BACasv569	Bac	0.006504775
BACasv570	Bac	0.017074288
BACasv571	Bac	0.036636838
BACasv572	Bac	0.015133175
BACasv573	Bac	0.015133175
BACasv574	Bac	0.019442888
BACasv579	Bac	0.00463355
BACasv580	Bac	0.014580238
BACasv581	Bac	0.013293863
BACasv582	Bac	0.01231345
