label	Kindom	Abundance
FUNasv142	Fun	0.00191375
FUNasv143	Fun	0.2232049
FUNasv145	Fun	0.078095
FUNasv146	Fun	0.0688715
FUNasv149	Fun	0.0305495
FUNasv151	Fun	0.039461775
FUNasv153	Fun	0.00112375
FUNasv154	Fun	0.166504288
FUNasv155	Fun	0.001771288
FUNasv156	Fun	0.088935675
FUNasv157	Fun	0.013394625
FUNasv158	Fun	0.025293063
FUNasv159	Fun	0.00529665
FUNasv163	Fun	0.073236375
FUNasv166	Fun	0.026753775
FUNasv167	Fun	0.009697825
FUNasv168	Fun	0.0024963
FUNasv169	Fun	0.006275388
FUNasv170	Fun	0.048311913
FUNasv172	Fun	0.115130463
FUNasv173	Fun	0.069146025
FUNasv174	Fun	0.00340825
FUNasv175	Fun	0.00941865
FUNasv176	Fun	0.050771125
FUNasv177	Fun	0.002814913
FUNasv178	Fun	0.031666725
FUNasv179	Fun	0.008000688
FUNasv180	Fun	0.009161975
FUNasv182	Fun	0.136283238
FUNasv183	Fun	0.00271875
FUNasv184	Fun	0.029176275
FUNasv185	Fun	0.023908338
FUNasv186	Fun	0.05587805
FUNasv187	Fun	0.015869338
FUNasv188	Fun	0.048386225
FUNasv189	Fun	0.002177288
FUNasv191	Fun	0.006974538
FUNasv192	Fun	0.0589019
FUNasv193	Fun	0.012922913
FUNasv194	Fun	0.0156543
FUNasv196	Fun	0.094607463
FUNasv197	Fun	0.0352272
FUNasv198	Fun	0.0023776
FUNasv201	Fun	0.014529888
FUNasv203	Fun	0.02120225
FUNasv204	Fun	0.003776763
FUNasv206	Fun	0.00027875
FUNasv207	Fun	0.046293713
FUNasv208	Fun	0.004063063
FUNasv209	Fun	0.00174125
FUNasv210	Fun	0.002306163
FUNasv211	Fun	0.005835425
FUNasv212	Fun	0.023161788
FUNasv213	Fun	0.00124875
FUNasv214	Fun	0.010236638
FUNasv215	Fun	0.013435713
FUNasv216	Fun	0.014236113
FUNasv217	Fun	0.00199705
FUNasv218	Fun	0.049669988
FUNasv219	Fun	0.0365844
FUNasv220	Fun	0.048677463
FUNasv221	Fun	0.0020825
FUNasv223	Fun	0.010681688
FUNasv224	Fun	0.03683595
FUNasv225	Fun	0.003525425
FUNasv226	Fun	0.004479275
FUNasv227	Fun	0.015035625
FUNasv229	Fun	0.014144588
FUNasv230	Fun	0.052605025
FUNasv231	Fun	0.00415145
FUNasv232	Fun	0.00201125
