ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4	Class	Abundance
FUNasv345	6.99E-05	8.54E-05	0	0	0	0	0	0	Sordariomycetes	1.94E-05
FUNasv346	6.99E-05	0.000158554	0.000193309	0.000169229	0	0	0	0	Eurotiomycetes	7.39E-05
FUNasv353	0.000269601	2.44E-05	0.000386618	0	0	0	0	0	Dothideomycetes	8.51E-05
FUNasv355	3.99E-05	0.000329304	0.000345194	0.000350546	0	0	0	0	Agaricomycetes	0.000133123
FUNasv357	3.00E-05	4.88E-05	0	3.63E-05	0	0	0	0	Tremellomycetes	1.44E-05
FUNasv359	0.00020969	0	0	0	0	0.000346303	0	0	Leotiomycetes	6.95E-05
FUNasv360	0	6.10E-05	0	0.000157141	0	0	0	0	Tremellomycetes	2.73E-05
FUNasv361	0	0	0	6.04E-05	0.000349535	0.000111711	0	0.000274234	Eurotiomycetes	9.95E-05
FUNasv363	0	0.000158554	0	0	0	0	0	0	Glomeromycetes	1.98E-05
FUNasv364	0	0	0	0	0.000217278	0.000189908	0.000139679	0	Leotiomycetes	6.84E-05
FUNasv365	0.000419379	6.10E-05	0.000289963	0	0	0	0	0	Dothideomycetes	9.63E-05
FUNasv366	0	0	0	0	0	0	0	0.000846548	Sordariomycetes	0.000105819
FUNasv370	6.99E-05	0	0	6.04E-05	0.000132256	0.000167566	5.08E-05	0	Tremellomycetes	6.01E-05
FUNasv375	0.000119823	0.000121965	0	0	0	0	0	0	Sordariomycetes	3.02E-05
FUNasv378	0.000129808	0	6.90E-05	0.000132966	0.000595154	0	0	0	Glomeromycetes	0.000115871
FUNasv379	0	0	0	0	0.000103916	0	2.54E-05	0	Dothideomycetes	1.62E-05
FUNasv381	0.000159764	0	0	9.67E-05	0	0	0	0	Sordariomycetes	3.21E-05
FUNasv382	6.99E-05	8.54E-05	0	0	0	0	0	0	Orbiliomycetes	1.94E-05
FUNasv388	0.000139793	0	0	0	0	0	0	0	Leotiomycetes	1.75E-05
FUNasv392	0.000109837	0	0	0	0	0	0	0	Sordariomycetes	1.37E-05
FUNasv394	0	0	0	0	0.000538472	0	0	0	Dothideomycetes	6.73E-05
FUNasv400	0	0.000134161	0	0	0	0	0	0	Leotiomycetes	1.68E-05
FUNasv403	0	0	0	0	0.000245619	0	0	0	Tremellomycetes	3.07E-05
FUNasv406	4.99E-05	0	5.52E-05	0	0.000188938	8.94E-05	0	0.000166925	Microbotryomycetes	6.88E-05
