label	Class	Abundance
FUNasv534	Eurotiomycetes	2.76E-05
FUNasv535	Dothideomycetes	2.40E-05
FUNasv537	Sordariomycetes	3.77E-05
FUNasv539	Dothideomycetes	1.95E-05
FUNasv540	Agaricomycetes	2.34E-05
FUNasv545	Sordariomycetes	1.81E-05
FUNasv546	Tremellomycetes	1.75E-05
FUNasv548	Glomeromycetes	2.34E-05
FUNasv552	Eurotiomycetes	1.66E-05
FUNasv554	Sordariomycetes	5.42E-05
FUNasv555	Sordariomycetes	2.24E-05
FUNasv561	Sordariomycetes	2.19E-05
FUNasv562	Sordariomycetes	2.59E-05
FUNasv563	Tremellomycetes	2.18E-05
FUNasv570	Chytridiomycetes	1.28E-05
FUNasv571	Olpidiomycetes	1.30E-05
FUNasv575	Dothideomycetes	2.12E-05
FUNasv578	Tremellomycetes	2.36E-05
FUNasv583	Agaricomycetes	1.73E-05
FUNasv589	Sordariomycetes	2.37E-05
FUNasv590	Eurotiomycetes	1.64E-05
FUNasv594	Tremellomycetes	1.70E-05
FUNasv595	Agaricomycetes	2.02E-05
FUNasv596	Dothideomycetes	1.53E-05
FUNasv597	Orbiliomycetes	1.53E-05
FUNasv598	Agaricostilbomycetes	1.75E-05
FUNasv599	Dothideomycetes	1.91E-05
FUNasv600	Agaricomycetes	2.38E-05
FUNasv606	Sordariomycetes	1.25E-05
FUNasv610	Glomeromycetes	1.52E-05
FUNasv611	Dothideomycetes	1.54E-05
FUNasv612	Sordariomycetes	1.40E-05
FUNasv613	Dothideomycetes	1.60E-05
FUNasv614	Sordariomycetes	1.60E-05
FUNasv615	Agaricomycetes	2.18E-05
FUNasv623	Microbotryomycetes	1.27E-05
FUNasv641	Sordariomycetes	1.27E-05
FUNasv650	Agaricomycetes	1.60E-05
FUNasv683	Agaricomycetes	2.77E-05
FUNasv684	Agaricomycetes	1.39E-05
